Timestamp (s),CPU (%),RAM (%),Swap (%)
1730318768.881,100.0,13.4,0.0
1730318798.880,14.5,13.4,0.0
1730318828.879,6.3,13.4,0.0
1730318858.878,6.3,13.4,0.0
1730318888.877,6.3,13.4,0.0
1730318918.876,6.3,13.4,0.0
1730318948.876,6.3,13.4,0.0
1730318978.875,6.3,13.4,0.0
1730319008.874,6.3,13.4,0.0
1730319038.873,6.3,13.5,0.0
1730319068.872,6.3,13.5,0.0
1730319098.871,6.3,13.5,0.0
1730319128.870,6.3,13.5,0.0
1730319158.869,13.7,13.5,0.0
1730319188.868,6.3,13.5,0.0
1730319218.867,6.3,13.5,0.0
1730319248.867,6.3,13.5,0.0
1730319278.866,6.3,13.5,0.0
1730319308.865,6.3,13.4,0.0
1730319338.864,6.3,13.4,0.0
1730319368.863,6.3,13.4,0.0
1730319398.862,6.3,13.4,0.0
1730319428.861,6.3,13.4,0.0
1730319458.860,6.3,13.4,0.0
1730319488.859,6.3,13.4,0.0
1730319518.859,6.3,13.4,0.0
1730319548.858,6.3,13.4,0.0
1730319578.857,6.3,13.5,0.0
1730319608.856,6.3,13.5,0.0
1730319638.855,6.3,13.5,0.0
1730319668.854,6.3,13.5,0.0
1730319698.853,6.3,13.5,0.0
Timestamp (s),CPU (%),RAM (%),Swap (%)
1730365786.245,100.0,50.5,0.0
Timestamp (s),CPU (%),RAM (%),Swap (%)
1730365964.920,100.0,50.4,0.0
1730365994.923,100.0,50.5,0.0
1730366024.923,100.0,50.5,0.0
Timestamp (s),CPU (%),RAM (%),Swap (%)
1730366108.465,100.0,50.4,0.0
1730366138.471,100.0,50.5,0.0
1730366168.470,100.0,50.5,0.0
Timestamp (s),CPU (%),RAM (%),Swap (%)
1730366429.589,100.0,50.5,0.0
1730366459.576,100.0,50.5,0.0
1730366489.575,100.0,50.5,0.0
Timestamp (s),CPU (%),RAM (%),Swap (%)
1730366590.860,100.0,50.4,0.0
1730366620.861,100.0,50.5,0.0
1730366650.860,100.0,50.5,0.0
