Timestamp (s),CPU (%),RAM (%),Swap (%)
1730015346.254,96.2,13.2,0.0
1730015376.253,87.9,13.1,0.0
1730015406.252,87.6,13.1,0.0
1730015436.267,87.5,13.1,0.0
1730015466.266,87.7,13.1,0.0
1730015496.265,87.5,13.1,0.0
1730015526.264,87.5,13.2,0.0
1730015556.267,87.5,13.2,0.0
1730015586.266,87.9,13.2,0.0
1730015616.265,87.5,13.2,0.0
1730015646.264,87.6,13.2,0.0
1730015676.263,87.7,13.2,0.0
1730015706.262,87.5,13.2,0.0
1730015736.261,87.6,13.2,0.0
1730015766.260,87.5,13.2,0.0
1730015796.262,87.5,13.2,0.0
1730015826.261,87.6,13.2,0.0
1730015856.260,87.5,13.2,0.0
1730015886.274,87.9,13.2,0.0
1730015916.273,87.5,13.2,0.0
1730015946.272,87.5,13.2,0.0
1730015976.271,87.5,13.2,0.0
1730016006.270,87.9,13.2,0.0
1730016036.270,87.5,13.2,0.0
1730016066.268,87.8,13.2,0.0
1730016096.267,87.6,13.2,0.0
1730016126.268,87.5,13.2,0.0
1730016156.267,87.5,13.2,0.0
1730016186.266,87.8,13.2,0.0
1730016216.266,87.5,13.2,0.0
1730016246.265,87.5,13.2,0.0
1730016276.268,87.6,13.2,0.0
1730016306.267,87.7,13.2,0.0
1730016336.266,87.5,13.2,0.0
1730016366.270,87.7,13.2,0.0
1730016396.269,87.9,13.2,0.0
1730016426.268,87.5,13.2,0.0
1730016456.267,87.6,13.2,0.0
1730016486.266,87.8,13.2,0.0
1730016516.265,87.6,13.2,0.0
1730016546.264,87.5,13.2,0.0
1730016576.277,87.7,13.2,0.0
1730016606.276,87.6,13.2,0.0
1730016636.275,87.6,13.2,0.0
1730016666.285,87.4,13.2,0.0
1730016696.284,87.6,13.2,0.0
1730016726.283,87.5,13.2,0.0
1730016756.282,89.5,13.2,0.0
1730016786.282,87.5,13.2,0.0
1730016816.281,87.5,13.2,0.0
1730016846.296,87.3,13.2,0.0
1730016876.295,87.5,13.2,0.0
1730016906.294,87.5,13.2,0.0
1730016936.294,87.5,13.2,0.0
1730016966.302,87.7,13.2,0.0
1730016996.301,87.8,13.2,0.0
1730017026.300,87.5,13.2,0.0
1730017056.299,87.6,13.2,0.0
1730017086.298,87.5,13.2,0.0
1730017116.297,87.5,13.2,0.0
1730017146.297,87.6,13.2,0.0
